Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run1.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/16/2025,,,,,,,,,,,,,
Time,12:06:20 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.04,0.038,0.041,0.039,0.028,0.028,0.036,0.028,0.039,0.035,0.041,0.049,Chl:630
,,0.074,0.072,0.082,0.072,0.028,0.028,0.061,0.028,0.069,0.051,0.065,0.111,Chl:663
,,0.028,0.028,0.028,0.029,0.028,0.028,0.029,0.028,0.029,0.03,0.034,0.03,Chl:750
,B,0.039,0.038,0.049,0.028,0.042,0.037,0.028,0.036,0.028,0.031,0.045,0.029,Chl:630
,,0.075,0.066,0.105,0.028,0.076,0.059,0.028,0.06,0.028,0.031,0.091,0.029,Chl:663
,,0.029,0.029,0.029,0.028,0.03,0.03,0.028,0.03,0.028,0.03,0.03,0.029,Chl:750
,C,0.027,0.037,0.035,0.037,0.032,0.028,0.028,0.043,0.028,0.029,0.028,0.045,Chl:630
,,0.027,0.064,0.053,0.062,0.046,0.028,0.028,0.084,0.028,0.029,0.028,0.09,Chl:663
,,0.027,0.028,0.03,0.029,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.029,Chl:750
,D,0.033,0.036,0.028,0.036,0.029,0.028,0.045,0.029,0.028,0.034,0.029,0.041,Chl:630
,,0.048,0.059,0.028,0.057,0.029,0.028,0.108,0.029,0.028,0.045,0.029,0.077,Chl:663
,,0.028,0.029,0.028,0.029,0.029,0.028,0.029,0.028,0.028,0.03,0.028,0.03,Chl:750
,E,0.042,0.039,0.043,0.046,0.031,0.028,0.028,0.036,0.029,0.028,0.028,0.03,Chl:630
,,0.083,0.073,0.087,0.099,0.041,0.028,0.028,0.057,0.029,0.028,0.028,0.029,Chl:663
,,0.028,0.029,0.028,0.029,0.029,0.028,0.028,0.03,0.03,0.028,0.028,0.029,Chl:750
,F,0.038,0.038,0.03,0.035,0.038,0.028,0.029,0.038,0.042,0.034,0.053,0.042,Chl:630
,,0.068,0.065,0.03,0.055,0.062,0.028,0.029,0.062,0.079,0.05,0.119,0.08,Chl:663
,,0.029,0.028,0.029,0.029,0.03,0.028,0.029,0.031,0.03,0.029,0.03,0.031,Chl:750
,G,0.051,0.028,0.034,0.029,0.028,0.045,0.028,0.039,0.039,0.043,0.039,0.038,Chl:630
,,0.124,0.028,0.055,0.028,0.028,0.086,0.028,0.07,0.071,0.081,0.068,0.063,Chl:663
,,0.028,0.028,0.029,0.028,0.028,0.031,0.028,0.03,0.029,0.03,0.029,0.029,Chl:750
,H,0.046,0.045,0.037,0.04,0.028,0.028,0.044,0.05,0.041,0.048,0.029,0.041,Chl:630
,,0.114,0.089,0.068,0.075,0.028,0.028,0.088,0.111,0.081,0.099,0.029,0.081,Chl:663
,,0.028,0.029,0.029,0.029,0.028,0.028,0.029,0.029,0.028,0.032,0.029,0.029,Chl:750
