Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run7.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/18/2025,,,,,,,,,,,,,
Time,1:05:52 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.1,,,,,,,,,,,,,
Actual Temperature:,21.1,,,,,,,,,,,,,
Actual Temperature:,21.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.035,0.037,0.041,0.043,0.039,0.028,0.048,0.038,0.04,0.042,0.038,0.033,Chl:630
,,0.048,0.062,0.075,0.084,0.072,0.029,0.107,0.058,0.069,0.066,0.064,0.044,Chl:663
,,0.029,0.03,0.03,0.03,0.029,0.029,0.034,0.032,0.031,0.033,0.029,0.03,Chl:750
,B,0.047,0.036,0.033,0.036,0.054,0.043,0.045,0.037,0.044,0.058,0.032,0.046,Chl:630
,,0.092,0.031,0.037,0.05,0.107,0.076,0.093,0.054,0.049,0.123,0.039,0.077,Chl:663
,,0.031,0.029,0.03,0.029,0.03,0.032,0.029,0.03,0.036,0.034,0.03,0.032,Chl:750
,C,0.032,0.033,0.054,0.053,0.041,0.042,0.045,0.03,0.034,0.044,0.053,0.036,Chl:630
,,0.036,0.036,0.105,0.119,0.076,0.072,0.083,0.029,0.044,0.081,0.101,0.052,Chl:663
,,0.03,0.031,0.035,0.031,0.028,0.031,0.033,0.029,0.03,0.033,0.035,0.03,Chl:750
,D,0.039,0.04,0.038,0.046,0.041,0.033,0.038,0.046,0.033,0.042,0.031,0.047,Chl:630
,,0.068,0.08,0.063,0.086,0.062,0.042,0.064,0.091,0.039,0.067,0.03,0.086,Chl:663
,,0.029,0.029,0.029,0.033,0.032,0.03,0.03,0.029,0.03,0.033,0.03,0.032,Chl:750
,E,0.03,0.034,0.03,0.033,0.042,0.05,0.029,0.039,0.047,0.042,0.048,0.035,Chl:630
,,0.04,0.045,0.033,0.041,0.081,0.098,0.029,0.069,0.088,0.077,0.086,0.051,Chl:663
,,0.028,0.031,0.028,0.03,0.029,0.03,0.029,0.03,0.032,0.031,0.034,0.03,Chl:750
,F,0.032,0.054,0.036,0.046,0.035,0.04,0.034,0.043,0.044,0.064,0.047,0.04,Chl:630
,,0.031,0.126,0.056,0.08,0.045,0.069,0.039,0.07,0.081,0.127,0.075,0.062,Chl:663
,,0.031,0.029,0.028,0.034,0.03,0.029,0.031,0.031,0.032,0.038,0.032,0.034,Chl:750
,G,0.046,0.038,0.043,0.044,0.035,0.042,0.054,0.053,0.033,0.032,0.041,0.046,Chl:630
,,0.094,0.063,0.084,0.078,0.043,0.084,0.126,0.121,0.039,0.032,0.074,0.102,Chl:663
,,0.03,0.029,0.03,0.03,0.028,0.032,0.03,0.034,0.03,0.03,0.029,0.032,Chl:750
,H,0.035,0.048,0.04,0.032,0.045,0.035,0.044,0.039,0.034,0.045,0.045,0.041,Chl:630
,,0.055,0.1,0.063,0.031,0.089,0.052,0.084,0.066,0.04,0.085,0.067,0.051,Chl:663
,,0.029,0.029,0.03,0.031,0.029,0.029,0.029,0.03,0.03,0.033,0.032,0.032,Chl:750
