Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run5.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/17/2025,,,,,,,,,,,,,
Time,3:25:00 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.9,,,,,,,,,,,,,
Actual Temperature:,20.9,,,,,,,,,,,,,
Actual Temperature:,20.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.04,0.034,0.04,0.042,0.034,0.029,0.043,0.033,0.035,0.04,0.038,0.035,Chl:630
,,0.068,0.053,0.072,0.079,0.056,0.029,0.085,0.043,0.056,0.068,0.064,0.05,Chl:663
,,0.03,0.028,0.029,0.03,0.029,0.029,0.029,0.03,0.03,0.031,0.03,0.03,Chl:750
,B,0.033,0.039,0.055,0.033,0.038,0.044,0.028,0.049,0.05,0.028,0.029,0.037,Chl:630
,,0.046,0.066,0.107,0.046,0.065,0.089,0.028,0.103,0.094,0.028,0.029,0.062,Chl:663
,,0.03,0.029,0.036,0.029,0.029,0.029,0.028,0.03,0.031,0.028,0.029,0.03,Chl:750
,C,0.037,0.029,0.032,0.031,0.041,0.029,0.038,0.032,0.029,0.032,0.036,0.044,Chl:630
,,0.063,0.028,0.039,0.04,0.082,0.029,0.071,0.039,0.028,0.042,0.058,0.086,Chl:663
,,0.028,0.029,0.03,0.029,0.029,0.029,0.028,0.03,0.028,0.03,0.03,0.03,Chl:750
,D,0.037,0.032,0.038,0.029,0.033,0.04,0.029,0.04,0.043,0.031,0.029,0.037,Chl:630
,,0.063,0.042,0.064,0.029,0.047,0.074,0.029,0.072,0.078,0.037,0.029,0.059,Chl:663
,,0.028,0.029,0.029,0.028,0.029,0.029,0.029,0.029,0.03,0.03,0.028,0.03,Chl:750
,E,0.037,0.028,0.035,0.039,0.042,0.029,0.03,0.037,0.028,0.042,0.029,0.034,Chl:630
,,0.06,0.028,0.056,0.067,0.079,0.028,0.03,0.066,0.028,0.077,0.029,0.048,Chl:663
,,0.029,0.028,0.029,0.031,0.029,0.029,0.029,0.03,0.028,0.03,0.028,0.03,Chl:750
,F,0.044,0.038,0.039,0.042,0.03,0.034,0.037,0.029,0.033,0.04,0.051,0.047,Chl:630
,,0.085,0.07,0.069,0.077,0.03,0.057,0.061,0.029,0.042,0.071,0.112,0.094,Chl:663
,,0.029,0.029,0.029,0.03,0.029,0.029,0.029,0.029,0.03,0.029,0.031,0.031,Chl:750
,G,0.048,0.035,0.035,0.032,0.029,0.031,0.049,0.034,0.044,0.029,0.039,0.041,Chl:630
,,0.081,0.058,0.059,0.045,0.029,0.04,0.103,0.049,0.087,0.029,0.065,0.068,Chl:663
,,0.033,0.028,0.029,0.029,0.029,0.028,0.03,0.029,0.03,0.03,0.032,0.03,Chl:750
,H,0.036,0.033,0.028,0.037,0.05,0.043,0.039,0.033,0.037,0.042,0.043,0.042,Chl:630
,,0.068,0.041,0.028,0.064,0.112,0.083,0.068,0.044,0.056,0.078,0.08,0.074,Chl:663
,,0.028,0.031,0.028,0.029,0.03,0.029,0.029,0.029,0.033,0.03,0.03,0.03,Chl:750
