Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/22/2025,,,,,,,,,,,,,
Time,12:05:57 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
Actual Temperature:,19.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.029,0.032,0.058,0.029,0.029,0.048,0.029,0.028,0.028,0.031,0.028,0.029,Chl:630
,,0.029,0.032,0.151,0.029,0.029,0.099,0.03,0.029,0.028,0.031,0.028,0.029,Chl:663
,,0.028,0.03,0.029,0.028,0.028,0.03,0.029,0.028,0.028,0.03,0.028,0.029,Chl:750
,B,0.046,0.029,0.032,0.029,0.045,0.029,0.03,0.029,0.029,0.03,0.029,0.045,Chl:630
,,0.099,0.029,0.032,0.029,0.086,0.029,0.03,0.029,0.029,0.03,0.029,0.045,Chl:663
,,0.031,0.029,0.031,0.028,0.03,0.029,0.029,0.029,0.029,0.029,0.028,0.044,Chl:750
,C,0.043,0.029,0.03,0.043,0.029,0.028,0.029,0.029,0.029,0.029,0.036,0.03,Chl:630
,,0.083,0.029,0.031,0.084,0.029,0.029,0.029,0.029,0.029,0.029,0.037,0.03,Chl:663
,,0.028,0.029,0.03,0.029,0.028,0.028,0.029,0.028,0.029,0.029,0.037,0.03,Chl:750
,D,0.029,0.044,0.032,0.029,0.029,0.029,0.029,0.029,0.03,0.029,0.03,0.029,Chl:630
,,0.029,0.043,0.031,0.029,0.03,0.029,0.029,0.029,0.03,0.029,0.03,0.029,Chl:663
,,0.028,0.042,0.031,0.029,0.029,0.029,0.029,0.028,0.03,0.029,0.029,0.03,Chl:750
,E,0.041,0.028,0.048,0.029,0.029,0.029,0.029,0.029,0.029,0.03,0.033,0.027,Chl:630
,,0.078,0.029,0.104,0.029,0.029,0.029,0.029,0.029,0.029,0.03,0.034,0.028,Chl:663
,,0.028,0.028,0.03,0.028,0.029,0.028,0.028,0.028,0.029,0.029,0.033,0.028,Chl:750
,F,0.028,0.032,0.028,0.049,0.028,0.034,0.047,0.029,0.029,0.029,0.029,0.029,Chl:630
,,0.028,0.032,0.028,0.105,0.028,0.034,0.09,0.029,0.029,0.03,0.029,0.029,Chl:663
,,0.028,0.031,0.028,0.03,0.028,0.034,0.031,0.028,0.029,0.029,0.029,0.029,Chl:750
,G,0.028,0.065,0.029,0.045,0.028,0.028,0.031,0.029,0.029,0.029,0.027,0.029,Chl:630
,,0.028,0.166,0.029,0.09,0.028,0.028,0.031,0.029,0.029,0.029,0.027,0.029,Chl:663
,,0.028,0.033,0.028,0.029,0.028,0.028,0.031,0.029,0.028,0.029,0.027,0.028,Chl:750
,H,0.029,0.029,0.029,0.03,0.029,0.029,0.03,0.03,0.029,0.029,0.029,0.029,Chl:630
,,0.029,0.029,0.029,0.03,0.029,0.029,0.03,0.03,0.029,0.029,0.029,0.029,Chl:663
,,0.029,0.029,0.029,0.029,0.029,0.028,0.029,0.031,0.029,0.028,0.028,0.029,Chl:750
