Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run8.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/18/2025,,,,,,,,,,,,,
Time,1:31:51 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.2,,,,,,,,,,,,,
Actual Temperature:,21.2,,,,,,,,,,,,,
Actual Temperature:,21.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.029,0.029,0.033,0.032,0.029,0.047,0.029,0.032,0.029,0.032,0.037,0.029,Chl:630
,,0.029,0.029,0.033,0.032,0.029,0.092,0.029,0.031,0.029,0.031,0.036,0.029,Chl:663
,,0.03,0.029,0.032,0.031,0.029,0.03,0.028,0.031,0.029,0.031,0.036,0.029,Chl:750
,B,0.032,0.029,0.031,0.029,0.03,0.048,0.029,0.029,0.03,0.032,0.029,0.028,Chl:630
,,0.032,0.028,0.031,0.028,0.03,0.1,0.029,0.029,0.03,0.032,0.029,0.028,Chl:663
,,0.031,0.028,0.03,0.028,0.03,0.029,0.028,0.028,0.03,0.031,0.028,0.028,Chl:750
,C,0.026,0.055,0.029,0.029,0.029,0.029,0.029,0.043,0.03,0.029,0.029,0.029,Chl:630
,,0.026,0.118,0.029,0.029,0.029,0.029,0.029,0.08,0.029,0.029,0.029,0.029,Chl:663
,,0.026,0.031,0.029,0.029,0.029,0.029,0.029,0.03,0.029,0.029,0.028,0.029,Chl:750
,D,0.029,0.028,0.029,0.029,0.03,0.029,0.03,0.028,0.029,0.029,0.029,0.029,Chl:630
,,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.029,Chl:663
,,0.028,0.028,0.029,0.029,0.029,0.029,0.03,0.028,0.028,0.028,0.028,0.029,Chl:750
,E,0.029,0.029,0.029,0.029,0.029,0.036,0.029,0.029,0.029,0.028,0.029,0.051,Chl:630
,,0.029,0.029,0.029,0.028,0.029,0.052,0.028,0.028,0.029,0.028,0.028,0.109,Chl:663
,,0.029,0.029,0.029,0.028,0.029,0.031,0.028,0.028,0.029,0.028,0.028,0.03,Chl:750
,F,0.029,0.029,0.029,0.029,0.025,0.028,0.029,0.028,0.029,0.029,0.029,0.03,Chl:630
,,0.028,0.029,0.028,0.029,0.024,0.028,0.029,0.028,0.029,0.029,0.029,0.031,Chl:663
,,0.028,0.029,0.028,0.029,0.025,0.028,0.029,0.028,0.028,0.029,0.029,0.03,Chl:750
,G,0.03,0.028,0.029,0.045,0.029,0.026,0.028,0.029,0.029,0.031,0.036,0.029,Chl:630
,,0.03,0.028,0.028,0.086,0.029,0.026,0.028,0.028,0.029,0.03,0.053,0.03,Chl:663
,,0.03,0.028,0.028,0.03,0.029,0.026,0.028,0.028,0.028,0.03,0.03,0.029,Chl:750
,H,0.05,0.029,0.029,0.032,0.029,0.029,0.029,0.029,0.028,0.031,0.029,0.045,Chl:630
,,0.109,0.029,0.028,0.031,0.028,0.028,0.028,0.029,0.028,0.03,0.029,0.085,Chl:663
,,0.029,0.029,0.028,0.031,0.028,0.029,0.028,0.028,0.028,0.031,0.029,0.03,Chl:750
