Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run3.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/22/2025,,,,,,,,,,,,,
Time,11:48:41 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,19,,,,,,,,,,,,,
Actual Temperature:,19,,,,,,,,,,,,,
Actual Temperature:,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.045,0.041,0.041,0.035,0.029,0.032,0.045,0.051,0.038,0.043,0.048,0.041,Chl:630
,,0.085,0.078,0.075,0.052,0.028,0.04,0.09,0.107,0.065,0.079,0.096,0.069,Chl:663
,,0.029,0.029,0.029,0.03,0.029,0.029,0.029,0.033,0.03,0.031,0.03,0.03,Chl:750
,B,0.039,0.052,0.035,0.037,0.046,0.046,0.029,0.031,0.029,0.038,0.03,0.051,Chl:630
,,0.066,0.117,0.048,0.063,0.094,0.106,0.029,0.038,0.028,0.063,0.03,0.103,Chl:663
,,0.03,0.029,0.031,0.029,0.029,0.03,0.028,0.029,0.028,0.051,0.03,0.031,Chl:750
,C,0.028,0.044,0.037,0.046,0.037,0.052,0.04,0.068,0.053,0.029,0.051,0.047,Chl:630
,,0.028,0.089,0.056,0.08,0.063,0.114,0.065,0.214,0.125,0.029,0.105,0.092,Chl:663
,,0.028,0.029,0.031,0.033,0.029,0.03,0.03,0.031,0.03,0.029,0.03,0.03,Chl:750
,D,0.043,0.037,0.049,0.036,0.043,0.049,0.05,0.043,0.04,0.029,0.029,0.03,Chl:630
,,0.082,0.065,0.1,0.056,0.071,0.103,0.103,0.08,0.069,0.029,0.029,0.03,Chl:663
,,0.03,0.028,0.031,0.03,0.033,0.03,0.03,0.03,0.031,0.029,0.028,0.03,Chl:750
,E,0.04,0.039,0.048,0.05,0.029,0.046,0.055,0.038,0.029,0.053,0.044,0.041,Chl:630
,,0.072,0.067,0.096,0.115,0.029,0.095,0.122,0.06,0.029,0.105,0.097,0.072,Chl:663
,,0.029,0.029,0.03,0.03,0.029,0.029,0.031,0.031,0.029,0.031,0.031,0.03,Chl:750
,F,0.044,0.028,0.039,0.043,0.049,0.048,0.034,0.051,0.048,0.064,0.029,0.041,Chl:630
,,0.086,0.028,0.064,0.087,0.099,0.095,0.041,0.051,0.094,0.195,0.029,0.07,Chl:663
,,0.029,0.029,0.029,0.03,0.032,0.03,0.031,0.05,0.03,0.032,0.029,0.03,Chl:750
,G,0.05,0.047,0.048,0.045,0.031,0.044,0.042,0.045,0.029,0.04,0.043,0.041,Chl:630
,,0.11,0.103,0.104,0.092,0.04,0.086,0.079,0.094,0.029,0.062,0.079,0.071,Chl:663
,,0.029,0.028,0.029,0.029,0.028,0.029,0.03,0.031,0.03,0.03,0.03,0.031,Chl:750
,H,0.036,0.055,0.045,0.051,0.044,0.037,0.029,0.056,0.054,0.035,0.041,0.036,Chl:630
,,0.057,0.131,0.086,0.119,0.086,0.058,0.029,0.129,0.121,0.049,0.075,0.054,Chl:663
,,0.028,0.029,0.033,0.03,0.03,0.03,0.029,0.03,0.029,0.031,0.03,0.029,Chl:750
