,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run6.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/18/2025,,,,,,,,,,,,,
Time,11:39:53 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,19.8,,,,,,,,,,,,,
Actual Temperature:,19.8,,,,,,,,,,,,,
Actual Temperature:,19.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.044,0.028,0.045,0.035,0.029,0.038,0.031,0.04,0.028,0.039,0.028,0.043,Chl:630
,,0.09,0.028,0.098,0.052,0.029,0.045,0.039,0.075,0.028,0.065,0.028,0.086,Chl:663
,,0.03,0.029,0.029,0.03,0.029,0.031,0.029,0.029,0.028,0.032,0.028,0.03,Chl:750
,B,0.029,0.036,0.031,0.039,0.031,0.03,0.028,0.029,0.032,0.028,0.03,0.064,Chl:630
,,0.028,0.05,0.031,0.069,0.038,0.03,0.028,0.029,0.043,0.028,0.029,0.166,Chl:663
,,0.028,0.033,0.03,0.029,0.029,0.03,0.028,0.029,0.029,0.028,0.029,0.031,Chl:750
,C,0.029,0.028,0.04,0.028,0.039,0.041,0.029,0.028,0.028,0.028,0.037,0.03,Chl:630
,,0.028,0.028,0.079,0.028,0.071,0.075,0.029,0.028,0.028,0.028,0.059,0.029,Chl:663
,,0.028,0.028,0.029,0.028,0.028,0.029,0.029,0.028,0.028,0.028,0.029,0.03,Chl:750
,D,0.044,0.028,0.029,0.035,0.028,0.032,0.028,0.046,0.031,0.028,0.037,0.03,Chl:630
,,0.089,0.028,0.029,0.054,0.028,0.042,0.028,0.084,0.041,0.028,0.059,0.03,Chl:663
,,0.029,0.028,0.029,0.03,0.028,0.029,0.029,0.033,0.029,0.028,0.03,0.03,Chl:750
,E,0.03,0.033,0.058,0.028,0.041,0.028,0.029,0.029,0.035,0.029,0.028,0.044,Chl:630
,,0.03,0.052,0.149,0.028,0.079,0.028,0.029,0.029,0.051,0.028,0.028,0.082,Chl:663
,,0.03,0.029,0.029,0.028,0.029,0.028,0.029,0.03,0.029,0.028,0.028,0.031,Chl:750
,F,0.031,0.028,0.03,0.036,0.028,0.043,0.028,0.028,0.031,0.042,0.029,0.046,Chl:630
,,0.042,0.028,0.03,0.055,0.028,0.082,0.028,0.028,0.04,0.086,0.029,0.089,Chl:663
,,0.029,0.028,0.03,0.029,0.029,0.029,0.028,0.028,0.029,0.03,0.029,0.032,Chl:750
,G,0.035,0.03,0.033,0.028,0.04,0.031,0.028,0.044,0.03,0.029,0.033,0.035,Chl:630
,,0.059,0.04,0.044,0.028,0.076,0.031,0.028,0.094,0.029,0.029,0.045,0.049,Chl:663
,,0.029,0.028,0.029,0.028,0.028,0.03,0.028,0.03,0.029,0.029,0.03,0.03,Chl:750
,H,0.034,0.028,0.028,0.031,0.028,0.046,0.028,0.03,0.034,0.042,0.044,0.037,Chl:630
,,0.055,0.028,0.028,0.042,0.028,0.098,0.028,0.03,0.055,0.076,0.094,0.056,Chl:663
,,0.028,0.028,0.028,0.029,0.028,0.029,0.028,0.031,0.029,0.03,0.03,0.03,Chl:750
