,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_run2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/12/2024,,,,,,,,,,,,,
Time,6:48:35 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.579,0.506,0.309,1.028,0.926,0.814,0.771,0.236,1.761,1.005,0.626,1.087,562
,B,0.817,0.865,0.367,0.046,0.293,0.955,0.045,0.045,0.045,0.085,0.045,0.045,562
,C,0.22,0.745,0.386,0.044,0.045,0.047,0.044,1.174,0.045,0.581,0.045,0.045,562
,D,0.275,1.225,1.031,0.753,0.044,0.045,0.045,0.497,0.045,0.108,0.045,0.044,562
,E,1.716,0.709,1.213,0.045,0.082,1.192,0.046,0.37,2.45,0.776,0.045,0.501,562
,F,0.627,0.231,0.046,0.045,0.046,0.045,0.774,0.944,1.051,0.672,1.275,0.045,562
,G,0.882,1.517,1.246,0.467,0.215,0.765,0.318,0.892,0.398,0.946,0.045,0.046,562
,H,0.782,0.989,0.046,0.047,0.046,0.046,0.045,0.109,0.353,0.606,0.295,1.244,562
