,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_20240129_Protein_RUN2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/29/2025,,,,,,,,,,,,,
Time,3:27:56 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,2.165,0.491,0.441,1.917,2.205,0.936,0.784,1.99,2.088,1.262,0.287,1.841,562
,B,1.094,1.556,2.736,1.426,0.045,0.045,0.046,0.045,0.046,2.044,0.44,0.044,562
,C,0.26,1.37,0.951,0.609,0.046,0.046,0.046,0.046,0.046,0.461,1.041,0.046,562
,D,0.087,0.481,0.112,0.684,0.046,0.048,0.048,0.046,0.046,1.578,2.085,0.046,562
,E,1.768,2.034,1.076,0.42,0.047,0.049,0.05,0.047,2.156,2.015,0.64,0.05,562
,F,0.299,1.896,0.511,1.836,0.05,0.049,0.053,0.611,1.107,1.012,0.404,0.793,562
,G,1.281,2.436,2.238,1.417,0.729,0.05,0.048,1.269,0.115,1.642,1.697,1.989,562
,H,0.801,1.222,0.508,0.462,0.939,0.492,0.814,0.652,0.087,0.271,1.183,2.055,562
