,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_run1.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/12/2024,,,,,,,,,,,,,
Time,5:07:21 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.871,0.253,0.595,1.144,0.348,0.508,1.104,0.364,0.106,1.054,0.531,0.629,562
,B,0.925,1.297,0.686,0.972,1.018,0.545,0.478,0.55,0.811,0.632,1.885,0.528,562
,C,0.567,2.057,1.01,0.253,0.078,0.729,1.279,0.831,0.868,0.839,0.354,0.3,562
,D,0.629,1.029,0.741,0.769,1.637,0.321,0.389,0.275,0.887,1.06,0.752,0.587,562
,E,0.801,2.85,0.393,0.81,0.585,0.454,1.879,1.992,0.831,1.198,1.094,0.386,562
,F,0.374,0.903,0.475,2.136,0.513,0.641,0.529,0.571,0.935,0.996,0.518,0.232,562
,G,0.268,0.222,0.324,0.754,0.619,1.756,0.819,0.381,0.074,0.789,1.359,1.052,562
,H,0.647,0.661,0.388,0.509,0.1,0.528,0.351,1.035,1.813,1.081,0.287,1.777,562
