,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_20240129_Protein_RUN1.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/29/2025,,,,,,,,,,,,,
Time,2:41:05 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,2.332,1.437,1.085,1.381,0.181,0.512,1.053,0.048,2.481,0.653,1.963,0.085,562
,B,0.568,1.722,1.568,2.542,0.046,0.277,0.045,0.047,0.045,0.045,0.045,1.591,562
,C,1.82,0.983,1.242,1.428,0.332,0.051,0.469,0.505,0.052,0.05,0.049,0.709,562
,D,0.965,0.575,0.51,1.078,0.047,0.049,0.046,0.826,0.045,0.044,0.044,0.609,562
,E,0.586,0.545,1.85,0.047,0.797,1.541,0.052,0.565,1.245,0.716,0.563,0.054,562
,F,0.379,0.657,0.049,0.051,0.053,0.495,1.519,0.502,0.358,1.316,1.386,2.027,562
,G,0.577,0.674,0.047,0.048,0.046,0.045,0.28,0.456,1.734,1.017,1.557,0.593,562
,H,0.098,0.532,0.046,0.048,0.043,0.348,0.517,0.182,1.063,0.588,1.502,2.379,562
