,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_20240128_Protein.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/28/2025,,,,,,,,,,,,,
Time,3:50:00 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,2.09,0.726,1.563,1.19,1.138,0.794,2.453,0.928,0.675,0.729,1.893,1.967,562
,B,1.443,1.62,0.729,0.402,1.454,0.045,0.045,0.045,0.045,1.044,0.079,0.673,562
,C,1.095,1.71,1.233,1.475,0.971,0.158,0.045,0.046,0.046,0.046,0.046,1.005,562
,D,0.898,0.046,0.046,0.983,1.153,0.755,0.302,0.046,0.045,0.045,0.045,1.857,562
,E,2.132,0.046,0.045,0.046,0.65,0.047,0.047,0.401,0.046,0.046,0.046,0.423,562
,F,1.214,0.046,0.046,0.047,0.049,0.403,1.46,1.908,0.747,0.963,1.699,0.944,562
,G,0.836,0.046,0.046,0.052,0.046,0.045,0.262,1.427,1.175,1.183,1.715,1.45,562
,H,0.117,1.142,0.717,0.959,2.546,0.774,0.897,0.118,1.211,1.62,0.938,0.756,562
