,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_20240130_Protein_RUN1.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/30/2025,,,,,,,,,,,,,
Time,2:22:01 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.901,0.302,2.084,1.671,1.547,0.547,0.54,0.56,0.045,0.048,0.047,0.045,562
,B,0.42,1.694,0.081,2.1,1.751,2.112,1.848,0.047,0.046,0.045,0.045,0.045,562
,C,0.526,0.509,1.148,0.121,2.069,0.695,0.049,0.049,0.048,0.047,0.046,0.046,562
,D,1.736,1.914,1.966,0.954,1.029,0.046,0.044,0.044,0.044,0.045,0.044,0.044,562
,E,0.527,0.808,1.074,0.696,0.047,0.048,0.049,0.046,0.047,0.048,0.046,0.046,562
,F,1.612,0.807,0.963,0.26,0.047,0.045,0.044,0.046,0.045,0.044,0.045,0.045,562
,G,1.61,1.125,0.625,1.962,0.048,0.048,0.047,0.047,0.047,0.048,0.048,0.046,562
,H,2.13,2.077,0.283,0.08,0.112,0.253,0.408,0.79,0.921,1.218,1.622,2.35,562
