,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_20240130_Protein_RUN2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/30/2025,,,,,,,,,,,,,
Time,5:45:01 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.653,1.439,1.251,1.708,0.797,0.998,0.689,1.599,0.776,1.446,1.032,1.784,562
,B,0.405,1.794,0.229,0.046,0.045,0.045,0.045,0.047,0.045,0.045,1.651,0.579,562
,C,1.809,1.303,0.104,0.046,0.046,0.045,0.048,0.055,0.054,0.05,1.457,1.284,562
,D,0.821,0.932,0.076,0.048,0.045,0.047,0.047,0.046,0.046,0.046,1.044,0.829,562
,E,0.759,0.829,0.113,0.046,0.046,0.047,0.047,0.045,0.047,0.048,0.86,0.785,562
,F,1.132,0.608,0.231,0.047,0.048,0.046,0.046,0.048,0.05,0.046,0.628,1.157,562
,G,1.792,0.348,1.377,0.048,0.046,0.046,0.046,0.047,0.046,0.108,0.371,1.8,562
,H,0.782,1.398,1.627,1.972,0.79,1.091,1.12,1.574,0.783,1.472,0.967,0.734,562
