Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
20240716,DL-3-4,Diploria labyrinthiformis,1,1,1,1,1,27,4,Control,0.6,
20240716,DL-2-14,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,0.6,
20240716,DL-2-18,Diploria labyrinthiformis,1,3,3,1,1,27,4,Control,0.6,
20240716,MD-4-19,Madracis decactis,1,4,4,1,1,27,4,Control,0.6,
20240716,MD-1-7,Madracis decactis,2,5,1,1,1,27,4,Control,0.6,
20240716,MD-4-10,Madracis decactis,2,6,2,1,1,27,4,Control,0.6,
20240716,DL-5-18,Diploria labyrinthiformis,2,7,3,2,1,27,4,Control,0.6,
20240716,DL-4-1,Diploria labyrinthiformis,2,8,4,2,1,27,4,Control,0.6,
20240716,MD-4-1,Madracis decactis,3,9,1,2,1,27,4,Control,0.6,
20240716,MD-5-14,Madracis decactis,3,10,2,2,1,27,4,Control,0.6,
20240716,BLANK-1,BLANK,3,11,3,2,1,27,4,Control,0.6,
20240716,DL-4-18,Diploria labyrinthiformis,3,12,4,2,1,27,4,Control,0.6,
20240716,MD-1-24,Madracis decactis,1,1,1,1,2,27,5,Control,0.6,
20240716,DL-4-3,Diploria labyrinthiformis,1,2,2,1,2,27,5,Control,0.6,
20240716,DL-4-23,Diploria labyrinthiformis,1,3,3,1,2,27,5,Control,0.6,
20240716,MD-2-5,Madracis decactis,1,4,4,1,2,27,5,Control,0.6,
20240716,DL-2-26,Diploria labyrinthiformis,2,5,1,1,2,27,5,Control,0.6,
20240716,MD-4-20,Madracis decactis,2,6,2,1,2,27,5,Control,0.6,
20240716,BLANK-2,BLANK,2,7,3,2,2,27,5,Control,0.6,
20240716,MD-1-9,Madracis decactis,2,8,4,2,2,27,5,Control,0.6,
20240716,DL-2-11,Diploria labyrinthiformis,3,9,1,2,2,27,5,Control,0.6,
20240716,DL-4-4,Diploria labyrinthiformis,3,10,2,2,2,27,5,Control,0.6,
20240716,MD-4-26,Madracis decactis,3,11,3,2,2,27,5,Control,0.6,
