Task,T3179,,,,,,,,,
"Scope 1/1, Sample 2/5 (202420726_2)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,133.2,21.3,NaN,,,,,,
0.02,28,98.9,21.3,0.0005,,,,,,
0.04,179,54.5,21.4,0,,,,,,
0.06,185,53.7,21.4,0.0035,,,,,,
0.11,190,53.3,21.4,0.01,,,,,,
0.235,193,53.1,21.4,0.039,-104.75,2.02,,,,NaN
0.435,197,53.2,21.4,0.0475,-17.72,1.25,,,,NaN
0.635,227,57.8,21.4,0.0065,31.14,1.49,,,,NaN
0.835,257,68,21.4,0.0065,263.61,2.42,,,,NaN
0.9575,287,93.9,21.4,0.004,483.09,2.68,,,,NaN
0.9775,317,121.1,21.4,0.0005,460.43,2.66,,,,NaN
0.9975,348,143.9,21.4,0.0005,409.94,2.61,,,,NaN
1.0175,378,158.7,21.4,0.0005,502.54,2.7,,,,NaN
1.0375,403,167.6,21.4,0.001,455.94,2.66,,,,NaN
1.0675,422,176.6,21.4,0.0015,405.13,2.61,,,,NaN
1.1075,441,185.9,21.4,0.002,274.18,2.44,,,,NaN
1.1515,457,193.3,21.4,0.003,191.66,2.28,,,,NaN
1.2185,470,201.6,21.4,0.005,,,,,,
1.3045,481,209.5,21.4,0.0075,,,,,,
1.422,491,217.4,21.4,0.0115,,,,,,
1.5845,500,225.5,21.4,0.0175,,,,,,
1.7845,509,232.8,21.4,0.023,,,,,,
"Scope 1/1, Sample 3/5 (20240715_3)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,119.1,21.3,NaN,,,,,,
0.02,28,74.8,21.3,0.0005,,,,,,
0.04,179,-19.6,21.4,0,,,,,,
0.06,209,-24,21.4,0.0005,,,,,,
0.11,212,-24.3,21.4,0.016,,,,,,
0.235,242,-17.4,21.4,0.004,-105.64,2.02,,,,NaN
0.3405,272,-10.6,21.4,0.0035,9.06,0.96,,,,NaN
0.4455,303,-4,21.4,0.0035,30.62,1.49,,,,NaN
0.577,333,1.5,21.4,0.0045,20.46,1.31,,,,NaN
0.777,341,3.6,21.4,0.0245,26.93,1.43,,,,NaN
0.977,371,12.7,21.4,0.0065,88.41,1.95,,,,NaN
1.133,402,24.3,21.4,0.005,239.17,2.38,,,,NaN
1.198,432,36.6,21.4,0.002,371.01,2.57,,,,NaN
1.218,462,48.8,21.4,0.0005,441.08,2.64,,,,NaN
1.238,492,60.7,21.4,0.0005,496.09,2.7,,,,NaN
1.258,522,73,21.4,0.0005,565.85,2.75,,,,NaN
1.278,552,85.5,21.4,0.0005,668.45,2.83,,,,NaN
1.298,583,98.1,21.4,0.0005,653.71,2.82,,,,NaN
1.318,613,111,21.4,0.0005,670.19,2.83,,,,NaN
1.338,643,124.5,21.4,0.0005,660.41,2.82,,,,NaN
1.358,673,138,21.4,0.0005,608.77,2.78,,,,NaN
1.378,704,150.5,21.4,0.0005,521.07,2.72,,,,NaN
1.398,734,160.5,21.5,0.0005,433.09,2.64,,,,NaN
1.418,760,168.1,21.5,0.001,372.57,2.57,,,,NaN
1.4455,782,176.3,21.5,0.001,307.71,2.49,,,,NaN
1.4805,800,184.2,21.5,0.002,240.95,2.38,,,,NaN
1.5265,816,192.1,21.5,0.003,181.38,2.26,,,,NaN
1.588,830,200,21.5,0.0045,,,,,,
1.6705,842,207.9,21.5,0.0065,,,,,,
1.783,853,215.7,21.5,0.0105,,,,,,
1.9405,862,223.8,21.5,0.017,,,,,,
2.1405,871,231.4,21.5,0.0215,,,,,,
"Scope 1/1, Sample 4/5 (20240814_6)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,116.1,21.4,NaN,,,,,,
0.02,28,65.3,21.4,0.0005,,,,,,
0.04,179,-45.8,21.4,0,,,,,,
0.06,202,-48.1,21.4,0.001,,,,,,
0.11,205,-48.2,21.4,0.0165,,,,,,
0.235,235,-36.5,21.4,0.004,586.75,2.77,,,,NaN
0.2715,265,-27.4,21.4,0.001,266.75,2.43,,,,NaN
0.2915,296,-20.8,21.4,0.0005,110.66,2.04,,,,NaN
0.3115,326,-15.5,21.4,0.0005,95.12,1.98,,,,NaN
0.3495,356,-10.9,21.4,0.0015,92.54,1.97,,,,NaN
0.4445,386,-5.7,21.4,0.003,65.37,1.82,,,,NaN
0.6445,416,0.6,21.5,0.0065,-27.2,1.43,,,,NaN
0.8445,428,3.6,21.5,0.017,16,1.2,,,,NaN
1.0445,458,15.9,21.5,0.0065,299.22,2.48,,,,NaN
1.129,488,32.1,21.5,0.003,568,2.75,,,,NaN
1.149,518,49.1,21.5,0.0005,690.33,2.84,,,,NaN
1.169,548,68,21.5,0.0005,766.8,2.88,,,,NaN
1.189,579,88.9,21.5,0.0005,806.3,2.91,,,,NaN
1.209,609,111.9,21.5,0.0005,1052.46,3.02,,,,NaN
1.229,639,134.3,21.5,0.0005,870.46,2.94,,,,NaN
1.249,669,152.8,21.5,0.0005,672.82,2.83,,,,NaN
1.269,699,164.4,21.5,0.0005,551.58,2.74,,,,NaN
1.2905,721,171.8,21.5,0.001,465.13,2.67,,,,NaN
1.3305,743,181.7,21.5,0.002,317.2,2.5,,,,NaN
1.375,759,189.7,21.5,0.0025,216.23,2.33,,,,NaN
1.435,774,197.9,21.5,0.004,,,,,,
1.5135,787,205.8,21.5,0.006,,,,,,
1.6215,798,213.7,21.5,0.01,,,,,,
1.772,807,221.8,21.5,0.0165,,,,,,
1.9705,816,229.2,21.5,0.022,,,,,,
"Scope 1/1, Sample 5/5 (20240802_7)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,113.4,21.4,NaN,,,,,,
0.02,27,56.1,21.5,0.0005,,,,,,
0.04,178,-57.5,21.5,0,,,,,,
0.06,182,-57.8,21.5,0.0055,,,,,,
0.11,212,-53.7,21.5,0.0015,,,,,,
0.157,242,-46.3,21.5,0.0015,454.3,2.66,,,,NaN
0.184,272,-38.9,21.5,0.001,124.13,2.09,,,,NaN
0.204,302,-32.4,21.5,0.0005,135.22,2.13,,,,NaN
0.225,333,-27.1,21.5,0.0005,138.9,2.14,,,,NaN
0.2655,363,-21.8,21.5,0.0015,131.69,2.12,,,,NaN
0.3665,393,-15.9,21.5,0.0035,80.78,1.91,,,,NaN
0.5665,423,-8.8,21.6,0.0065,12.68,1.1,,,,NaN
0.7665,453,-0.5,21.6,0.0065,2.13,0.33,,,,NaN
0.9515,466,3.4,21.6,0.0145,71.8,1.86,,,,NaN
1.1515,496,17.2,21.6,0.0065,312.3,2.49,,,,NaN
1.219,526,33.3,21.6,0.002,520.12,2.72,,,,NaN
1.239,556,49.6,21.6,0.0005,671.91,2.83,,,,NaN
1.259,587,67.4,21.6,0.0005,741.04,2.87,,,,NaN
1.279,617,86.7,21.6,0.0005,806.13,2.91,,,,NaN
1.299,647,107.7,21.6,0.0005,1016.82,3.01,,,,NaN
1.319,677,128.8,21.6,0.0005,875.96,2.94,,,,NaN
1.339,708,147.6,21.6,0.0005,695.11,2.84,,,,NaN
1.359,738,160.9,21.6,0.0005,556.56,2.75,,,,NaN
1.379,761,168.8,21.6,0.001,475.13,2.68,,,,NaN
1.413,781,178.2,21.6,0.0015,349.46,2.54,,,,NaN
1.455,797,186.9,21.6,0.0025,243.99,2.39,,,,NaN
1.506,812,194.9,21.6,0.0035,171.16,2.23,,,,NaN
1.573,824,202.6,21.6,0.006,,,,,,
1.6675,834,210.7,21.6,0.0095,,,,,,
1.7945,843,218.5,21.6,0.014,,,,,,
1.973,852,226.7,21.6,0.019,,,,,,
2.173,860,233.4,21.6,0.0245,,,,,,
