date,time,tank,treatment,pH.mV,pH.nbs,temp.C,sal.psu,par.avg,flow.mL10s,tris.date,notes
6/25/2024,9:46,1,Acclimation,-67,7.91,26.8,38.67,,0.06,6/19/2024,
6/26/2024,13:17:00 AM,1,Acclimation,-72.8,7.99,27.1,36.38,309.3333333,0.06,6/26/2024,
6/27/2024,9:16,1,Acclimation,-66,7.89,26.8,38.7,67.66666667,0.06,6/26/2024,
6/28/2024,9:25,1,Acclimation,-62.9,7.84,27,33.68,109,0.06,6/26/2024,
7/1/2024,,1,Acclimation,-67.3,7.92,26.9,38.3,,0.06,6/28/2024,
7/2/2024,9:24,,Acclimation,-66.8,7.9,27,38.35,45,0.06,7/1/2024,
7/3/2024,9:58,1,Acclimation,-71.8,8,26.9,37.63,120.6666667,0.06,7/1/2024,
7/4/2024,9:26,1,Acclimation,-68.6,7.94,27,38.36,714,0.06,7/1/2024,
7/5/2024,9:48,1,Acclimation,-65.4,7.88,26.7,38.43,102,0.06,7/4/2024,
7/7/2024,9:46,1,Acclimation,-68.9,7.94,27,38.19,76.66666667,0.06,7/4/2024,
7/8/2024,7:00,1,Acclimation,-70.5,7.97,27.1,38.36,148,0.06,7/7/2024,par taken an 9:54am
7/9/2024,11:20,1,Acclimation,-73,8.02,26.9,38.45,302.3333333,0.06,7/7/2024,
7/9/2024,23:00,2,low_ph,-57.4,7.74,26.8,38.51,,,7/7/2024,
7/9/2024,23:00,3,low_ph,-56.4,7.72,26.8,38.51,,,7/7/2024,
7/9/2024,23:00,4,control,-70.3,7.96,28.3,38.43,,,7/7/2024,
7/9/2024,23:00,5,control,-70.5,7.97,28.2,38.44,,,7/7/2024,
7/9/2024,23:00,6,heated,-67.2,7.9,28.7,38.31,,,7/7/2024,
7/9/2024,23:00,7,heated,-68.5,7.93,28.7,38.38,,,7/7/2024,
7/10/2024,17:00,2,low_ph,-70,7.96,28.4,38.55,,,7/7/2024,
7/10/2024,17:00,3,low_ph,-71,7.98,28.2,38.55,,,7/7/2024,
7/10/2024,17:00,4,control,-80.6,8.14,27.9,38.51,,,7/7/2024,
7/10/2024,17:00,5,control,-84.4,8.21,28,38.32,,,7/7/2024,
7/10/2024,17:00,6,heated,-75.5,8.04,29.5,38.28,,,7/7/2024,
7/10/2024,17:00,7,heated,-78,8.09,29.6,38.48,,,7/7/2024,
7/11/2024,10:45,2,low_ph,-73.8,8.02,27.6,38.63,,,7/7/2024,
7/11/2024,10:45,3,low_ph,-73.3,8.01,27.5,38.64,,,7/10/2024,
7/11/2024,10:45,4,control,-76.9,8.04,27.3,38.45,,,7/10/2024,
7/11/2024,10:45,5,control,-78.1,8.09,27.3,38.72,,,7/10/2024,
7/11/2024,10:45,6,heated,-86.3,8.23,29.1,38.63,,,7/10/2024,
7/11/2024,10:45,7,heated,-82.2,8.16,29.1,38.22,,,7/10/2024,
