Date_Processed,Fragment_ID,prot_ug.mL,surface.area.cm2,Species,Homogenate.Vol,Tank,Sample.Date,prot_ug,prot_ug.cm2,prot_mg.cm2,Priming_Treatment,Secondary_Treatment,Treatmentstage,Secondary.Treatment
20240212,MD-2-21,231.8417566681716,5.603703334,Madracis decactis,25,3,2024-08-15,5796.04391670429,1034.3238339433992,1.0343238339433993,Low pH,Stress,Stress,Control
20240212,MD-1-5,505.34799871948593,16.477362947160714,Madracis decactis,25,7,2024-07-23,12633.699967987148,766.7306964409688,0.7667306964409688,High Heat,Priming,Priming,NONE
20240212,MD-1-14,639.2248590734753,16.045965199718264,Madracis decactis,21.5,5,2024-08-06,13743.334470079719,856.4978359993593,0.8564978359993592,Control,Recovery,Recovery,NONE
20240212,DL-1-15,723.4208532804764,32.80374178683376,Diploria labrinthiformis,27.5,2,2024-07-23,19894.073465213103,606.4574460587257,0.6064574460587258,Low pH,Priming,Priming,NONE
20240212,MD-2-19,246.4845382693892,19.451332685514764,Madracis decactis,27,4,2024-08-15,6655.0825332735085,342.1401834450906,0.3421401834450906,Control,Stress,Stress,High_Temp
20240212,DL-3-14,825.9203244889995,17.348632799269822,Diploria labrinthiformis,28,5,2024-08-15,23125.769085691987,1333.0023958236823,1.3330023958236823,Control,Stress,Stress,Control
20240212,DL-1-17,1349.9227232182861,41.73624394842614,Diploria labrinthiformis,26,2,2024-08-15,35097.99080367544,840.9475190687103,0.8409475190687103,Low pH,Stress,Stress,High_Temp
20240212,MD-2-7,300.87201278819737,9.459535870902211,Madracis decactis,25,7,2024-08-15,7521.800319704934,795.1553249924444,0.7951553249924445,High Heat,Stress,Stress,Control
20240212,DL-1-11,749.5686775683649,29.935701513781716,Diploria labrinthiformis,27.5,7,2024-08-15,20613.138633130035,688.5804437768132,0.6885804437768133,High Heat,Stress,Stress,Control
20240212,DL-3-18,1278.8006411552292,23.317758169038328,Diploria labrinthiformis,31,2,2024-08-15,39642.81987581211,1700.1128319638567,1.7001128319638568,Low pH,Stress,Stress,High_Temp
20240212,MD-1-24,918.483622468125,19.71880458540234,Madracis decactis,27,5,2024-08-15,24799.057806639375,1257.6349493821701,1.2576349493821701,Control,Stress,Stress,Control
20240212,DL-1-6,1301.810726528571,26.78694815767932,Diploria labrinthiformis,25,3,2024-08-15,32545.268163214274,1214.9673778303913,1.2149673778303913,Low pH,Stress,Stress,Control
20240212,MD-5-3,1036.6717882493813,52.22061278,Madracis decactis,28.5,3,2024-08-15,29545.145965107367,565.775550922353,0.565775550922353,Low pH,Stress,Stress,Control
20240212,DL-2-24,974.4399664442064,32.207888544509906,Diploria labrinthiformis,28.5,7,2024-08-15,27771.539043659883,862.2589153983447,0.8622589153983446,High Heat,Stress,Stress,Control
20240212,DL-3-9,852.0681487768879,20.343788430684256,Diploria labrinthiformis,25,2,2024-08-15,21301.7037194222,1047.0863768565905,1.0470863768565906,Low pH,Stress,Stress,High_Temp
20240212,MD-1-13,544.5697351513187,13.543116758294916,Madracis decactis,25,2,2024-08-15,13614.243378782967,1005.25186497004,1.00525186497004,Low pH,Stress,Stress,High_Temp
20240212,DL-3-6,330.68053247639034,26.19374315198801,Diploria labrinthiformis,95,4,2024-07-23,31414.65058525708,1199.318875617547,1.199318875617547,Control,Priming,Priming,NONE
20240212,MD-1-20,342.7085316488191,9.017280353266315,Madracis decactis,23.5,3,2024-07-23,8053.650493747248,893.1352002192087,0.8931352002192088,Low pH,Priming,Priming,NONE
20240212,DL-2-22,1072.7557857666675,26.15931607576484,Diploria labrinthiformis,27.5,7,2024-08-06,29500.784108583357,1127.7352979390087,1.1277352979390087,High Heat,Recovery,Recovery,NONE
20240212,DL-4-25,955.090576471169,27.67410743,Diploria labrinthiformis,30,7,2024-08-15,28652.71729413507,1035.361930519725,1.035361930519725,High Heat,Stress,Stress,Control
20240212,DL-2-20,398.1419191391427,29.99661095633033,Diploria labrinthiformis,26,3,2024-08-15,10351.68989761771,345.09531469031316,0.3450953146903132,Low pH,Stress,Stress,Control
20240212,MD-2-17,-3.4886619228253544,14.21841709959524,Madracis decactis,25,3,2024-08-15,-87.21654807063386,-6.134054688346193,-0.006134054688346193,Low pH,Stress,Stress,Control
20240212,DL-2-3,634.5182507016552,31.061202082615637,Diploria labrinthiformis,26,3,2024-08-15,16497.474518243034,531.1280121858631,0.5311280121858631,Low pH,Stress,Stress,Control
20240212,MD-4-26,926.8509262402492,20.44442142272119,Madracis decactis,27.5,5,2024-08-15,25488.400471606856,1246.716644339955,1.246716644339955,Control,Stress,Stress,Control
20240212,MD-4-7,794.0199788577754,24.64187648531353,Madracis decactis,37.5,6,2024-08-15,29775.749207166577,1208.3393577965871,1.208339357796587,High Heat,Stress,Stress,High_Temp
20240212,MD-1-16,85.41394065599573,38.64310356160727,Madracis decactis,25,6,2024-08-15,2135.3485163998935,55.25820442955847,0.05525820442955847,High Heat,Stress,Stress,High_Temp
20240212,DL-3-8,29.980553165671996,23.64613951147456,Diploria labrinthiformis,25,3,2024-08-15,749.5138291417999,31.69709071445213,0.031697090714452134,Low pH,Stress,Stress,Control
20240212,DL-2-4,372.517051337012,26.980269431855422,Diploria labrinthiformis,21,4,2024-08-15,7822.858078077252,289.9473668280294,0.28994736682802935,Control,Stress,Stress,High_Temp
20240212,MD-4-2,217.19897506695403,18.542987520549985,Madracis decactis,25,5,2024-08-15,5429.974376673851,292.8316901824026,0.2928316901824026,Control,Stress,Stress,Control
20240212,DL-4-1,-3.488661922825358,58.89681732735264,Diploria labrinthiformis,27,4,2024-08-15,-94.19387191628466,-1.599303259338251,-0.001599303259338251,Control,Stress,Stress,High_Temp
20240212,DL-3-11,624.5820774722577,24.54653996654166,Diploria labrinthiformis,50,3,2024-08-15,31229.103873612883,1272.2405649097568,1.2722405649097568,Low pH,Stress,Stress,Control
20240212,DL-1-16,-2.9657054370675837,29.268345882379073,Diploria labrinthiformis,27.5,2,2024-08-15,-81.55689951935855,-2.7865223353281356,-0.0027865223353281355,Low pH,Stress,Stress,High_Temp
20240212,MD-1-2,93.78124442812006,30.58187125212396,Madracis decactis,27,4,2024-08-06,2532.0935995592417,82.79720945406125,0.08279720945406124,Control,Recovery,Recovery,NONE
20240212,DL-3-19,126.20454654510183,31.453141104233023,Diploria labrinthiformis,25,4,2024-08-15,3155.113663627546,100.31156039938169,0.10031156039938169,Control,Stress,Stress,High_Temp
20240212,MD-4-24,232.3647131539294,9.817047816296524,Madracis decactis,25,3,2024-08-15,5809.117828848234,591.7377543180512,0.5917377543180512,Low pH,Stress,Stress,Control
20240212,MD-1-8,-2.9657054370675837,11.511919261128764,Madracis decactis,25,3,2024-08-06,-74.1426359266896,-6.440510417497471,-0.006440510417497471,Low pH,Recovery,Recovery,NONE
20240212,MD-5-2,596.8653837270957,16.832226655922433,Madracis decactis,25,acclimation,2024-07-09,14921.634593177392,886.4920190417708,0.8864920190417709,Acclimation,Acclimation,Acclimation,NONE
20240212,DL-4-22,934.172317040858,24.22345509737056,Diploria labrinthiformis,28,3,2024-08-15,26156.824877144027,1079.8139560191532,1.0798139560191533,Low pH,Stress,Stress,Control
20240212,MD-2-18,607.3245134422513,21.704982059815144,Madracis decactis,25,5,2024-08-15,15183.112836056282,699.5220173052561,0.6995220173052561,Control,Stress,Stress,Control
