"","Date","Time","Tank","PrimingTreatment","SecondaryStressExposure","Salinity","Temperature","pH.Total","CO2","pCO2","HCO3","CO3","DIC","TA","AragSat"
"1","07/22/2024","8:45",2,"Low pH","High Heat",38.69,27.4,7.75844827899452,22.5128599599956,859.948723418303,1971.40076423667,144.720440229378,2138.63406442604,2329.254458,2.25719508437327
"2","07/20/2024","9:23",3,"Low pH","Control",38.47,27.9,7.78984930301067,20.3874585702539,787.204785346239,1934.26550754492,154.715667963593,2109.36863407877,2316.970033,2.42344032958008
"3","07/17/2024","9:05",3,"Low pH","Control",38.46,27.6,7.83036220430574,18.368015599116,704.156204811174,1902.43333171105,165.205832460354,2086.00717977052,2311.543602,2.58432611775216
"4","07/15/2024","17:30",3,"Low pH","Control",38.6,26.6,7.83090818158624,18.8305234809114,705.229691393016,1918.46331600957,161.327453775445,2098.62129326593,2318.183982,2.50908324315878
"5","07/15/2024","17:30",2,"Low pH","High Heat",38.54,26.5,7.86473109940993,17.2564113539383,644.508781255654,1896.21605605631,171.527342790392,2084.99981020064,2321.213086,2.66791913939201
"6","07/22/2024","8:45",3,"Low pH","Control",38.4,27.2,7.8841188124396,16.1142516350768,611.685153984386,1874.30585172487,181.323541504708,2071.74364486465,2323.207808,2.83266941727475
"7","08/14/2024","10:45",4,"Control","High Heat",38.92,32.2,7.91264013044269,12.7299060658381,543.139089359602,1732.54992499648,216.582568824095,1961.86239988641,2271.58499,3.45426664459747
"8","07/10/2024","17:00",2,"Low pH","High Heat",38.55,28.4,7.91874764113778,14.1356855050097,552.504388606518,1821.95301559986,200.00719245734,2036.09589356221,2317.576577,3.13816865327614
"9","07/26/2024","9:56",7,"High Heat","Control",39.22,28.4,7.93044048467626,13.5721301675928,532.274080929028,1804.26535091178,206.342225809012,2024.17970688839,2316.920766,3.21790215232877
"10","07/10/2024","17:00",3,"Low pH","Control",38.55,28.2,7.93636747974891,13.5309685309221,526.388438557734,1809.63939109875,205.389875846374,2028.56023547605,2318.739014,3.21952156822517
"11","07/17/2024","9:05",2,"Low pH","High Heat",38.66,27.5,7.95831298281553,12.9119176065033,494.314392002337,1794.41310060578,209.336378591301,2016.66139680358,2314.0499,3.26738236389983
"12","07/22/2024","8:45",6,"High Heat","High Heat",38.69,30.1,7.95917290312873,12.0125198268446,488.635658737616,1753.07851311107,225.218842447593,1990.30987538551,2311.857484,3.55941452698069
"13","07/22/2024","8:45",4,"Control","High Heat",38.97,27.3,7.97055225831774,12.3622910505927,471.759498738139,1763.89987133627,211.49623469817,1987.75839708503,2290.725055,3.28896006778016
"14","06/26/2024","9:30",1,"Acclimation",NA,36.38,27.1,7.98136168613039,12.9962106007032,487.090678715459,1861.84514775374,214.878887424584,2089.72024577902,2387.941442,3.41082930200472
"15","07/03/2024","9:58",1,"Acclimation",NA,37.63,26.9,7.98521133522456,12.242501271799,459.555814471942,1778.33810193561,211.269770102793,2001.8503733102,2301.762933,3.31740049339401
"16","07/20/2024","9:23",6,"High Heat","High Heat",38.69,31,7.99646380598187,10.4355505438839,433.161065923061,1685.59311694501,243.693379591136,1939.72204708003,2291.72952,3.86968523227113
"17","08/02/2024","12:00",4,"Control","High Heat",38.84,27.6,7.99932026108915,11.2460109968725,431.960353988986,1722.70447835176,222.513725936833,1956.46421528546,2277.594938,3.46910459962541
"18","08/14/2024","10:45",5,"Control","Control",39.36,28,8.00094784652823,10.8929818632532,423.503133802866,1692.37490132167,225.042919990934,1928.31080317586,2255.726366,3.49840771510423
"19","07/22/2024","8:45",5,"Control","Control",38.69,27.6,8.00495563614543,11.2068596791928,430.128398264405,1737.55298357834,226.648466350302,1975.40830960783,2301.295659,3.53829669362647
"20","07/10/2024","17:00",6,"High Heat","High Heat",38.28,29.5,8.00538357582452,10.8291901309492,433.624687279125,1734.93207273192,240.532251955825,1986.29351481869,2330.484663,3.80386022661083
"21","08/02/2024","12:00",6,"High Heat","High Heat",38.55,27.9,8.00881667524327,10.9241345508966,421.975524759706,1716.80904396446,227.740905157759,1955.47408367311,2283.852376,3.56477870561043
