Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Secondary.Temp.Cat,Priming.Temp.Cat,Tank,Priming.Treatment,Secondary.treatment,Chamber.Vol.L,Notes
20240810,DL-4-3,Diploria labyrinthiformis,1,1,1,1,1,28,27,5,Control,Control,0.62,
20240810,MD-1-9,Madracis decactis,1,2,2,1,1,28,27,5,Control,Control,0.635,
20240810,DL-3-14,Diploria labyrinthiformis,1,3,3,1,1,28,27,5,Control,Control,0.635,
20240810,MD-4-2,Madracis decactis,1,4,4,1,1,28,27,5,Control,Control,0.635,
20240810,DL-2-25,Diploria labyrinthiformis,2,5,1,1,1,28,27,5,Control,Control,0.62,
20240810,BLANK-1,Blank,2,6,2,1,1,28,27,5,Control,Control,0.645,
20240810,MD-5-9,Madracis decactis,2,7,3,2,1,28,27,5,Control,Control,0.635,
20240810,DL-1-14,Diploria labyrinthiformis,2,8,4,2,1,28,27,5,Control,Control,0.63,
20240810,MD-2-6,Madracis decactis,3,9,1,2,1,28,27,5,Control,Control,0.625,
20240810,DL-4-22,Diploria labyrinthiformis,1,1,1,1,2,28,27,3,low_pH,Control,0.61,
20240810,MD-1-10,Madracis decactis,1,2,2,1,2,28,27,3,low_pH,Control,0.63,
20240810,DL-1-13,Diploria labyrinthiformis,1,3,3,1,2,28,27,3,low_pH,Control,0.625,
20240810,MD-5-3,Madracis decactis,1,4,4,1,2,28,27,3,low_pH,Control,0.62,
20240810,DL-3-8,Diploria labyrinthiformis,2,5,1,1,2,28,27,3,low_pH,Control,0.63,
20240810,MD-2-17,Madracis decactis,2,6,2,1,2,28,27,3,low_pH,Control,0.64,
20240810,DL-2-20,Diploria labyrinthiformis,2,7,3,2,2,28,27,3,low_pH,Control,0.63,
20240810,MD-4-24,Madracis decactis,2,8,4,2,2,28,27,3,low_pH,Control,0.63,
20240810,BLANK-2 ,Blank,3,9,1,2,2,28,27,3,low_pH,Control,0.645,
20240810,DL-2-24,Diploria labyrinthiformis,1,1,1,1,3,28,30,7,Heat,Control,0.63,
20240810,BLANK-3,Blank,1,2,2,1,3,28,30,7,Heat,Control,0.645,
20240810,DL-4-25,Diploria labyrinthiformis,1,3,3,1,3,28,30,7,Heat,Control,0.62,
20240810,MD-5-4,Madracis decactis,1,4,4,1,3,28,30,7,Heat,Control,0.63,
20240810,DL-3-10,Diploria labyrinthiformis,2,5,1,1,3,28,30,7,Heat,Control,0.635,
20240810,MD-2-7,Madracis decactis,2,6,2,1,3,28,30,7,Heat,Control,0.635,
20240810,DL-1-11,Diploria labyrinthiformis,2,7,3,2,3,28,30,7,Heat,Control,0.627,
20240810,MD-1-12,Madracis decactis,2,8,4,2,3,28,30,7,Heat,Control,0.635,
20240810,MD-4-16,Madracis decactis,3,9,1,2,3,28,30,7,Heat,Control,0.63,
20240810,MD-4-10,Madracis decactis,1,1,1,1,4,30,27,4,Control,Heat,0.625,
20240810,DL-2-2,Diploria labyrinthiformis,1,2,2,1,4,30,27,4,Control,Heat,0.62,
20240810,MD-5-18,Madracis decactis,1,3,3,1,4,30,27,4,Control,Heat,0.63,
20240810,DL-3-3,Diploria labyrinthiformis,1,4,4,1,4,30,27,4,Control,Heat,0.625,
20240810,DL-1-7,Diploria labyrinthiformis,2,5,1,1,4,30,27,4,Control,Heat,0.63,
20240810,MD-2-19,Madracis decactis,2,6,2,1,4,30,27,4,Control,Heat,0.63,
20240810,DL-4-1,Diploria labyrinthiformis,2,7,3,2,4,30,27,4,Control,Heat,0.62,
20240810,MD-1-25,Madracis decactis,2,8,4,2,4,30,27,4,Control,Heat,0.635,
20240810,BLANK-4,Blank,3,9,1,2,4,30,27,4,Control,Heat,0.645,
20240810,DL-2-19,Diploria labyrinthiformis,1,1,1,1,5,30,27,2,low_pH,Heat,0.625,
20240810,MD-1-13,Madracis decactis,1,2,2,1,5,30,27,2,low_pH,Heat,0.635,
20240810,MD-4-15,Madracis decactis,1,3,3,1,5,30,27,2,low_pH,Heat,0.635,
20240810,BLANK-5,Blank,1,4,4,1,5,30,27,2,low_pH,Heat,0.635,
20240810,DL-4-17,Diploria labyrinthiformis,2,5,1,1,5,30,27,2,low_pH,Heat,0.62,
20240810,DL-1-16,Diploria labyrinthiformis,2,6,2,1,5,30,27,2,low_pH,Heat,0.63,
20240810,MD-5-25,Madracis decactis,2,7,3,2,5,30,27,2,low_pH,Heat,0.62,
20240810,DL-3-18,Diploria labyrinthiformis,2,8,4,2,5,30,27,2,low_pH,Heat,0.63,
20240810,MD-2-20,Madracis decactis,3,9,1,2,5,30,27,2,low_pH,Heat,0.625,
20240810,MD-1-16,Madracis decactis,1,1,1,1,6,30,30,6,Heat,Heat,0.63,
